Current Node,Time,Neighbor Node ID,Neighbor Node Rep
10.1.1.5,70,10.1.1.2,10
10.1.1.5,70,10.1.1.3,6
10.1.1.5,70,10.1.1.4,6
10.1.1.5,70,10.1.1.5,10
10.1.1.5,70,10.1.1.6,6
10.1.1.5,70,10.1.1.7,8
10.1.1.5,70,10.1.1.8,6
10.1.1.5,70,10.1.1.9,8
10.1.1.5,70,10.1.1.10,10
10.1.1.6,70,10.1.1.1,8
10.1.1.6,70,10.1.1.2,8
10.1.1.6,70,10.1.1.3,6
10.1.1.6,70,10.1.1.4,6
10.1.1.6,70,10.1.1.5,6
10.1.1.6,70,10.1.1.6,10
10.1.1.6,70,10.1.1.7,8
10.1.1.6,70,10.1.1.8,8
10.1.1.6,70,10.1.1.9,8
10.1.1.6,70,10.1.1.10,8
10.1.1.7,70,10.1.1.1,8
10.1.1.7,70,10.1.1.2,8
10.1.1.7,70,10.1.1.3,8
10.1.1.7,70,10.1.1.4,6
10.1.1.7,70,10.1.1.5,8
10.1.1.7,70,10.1.1.6,8
10.1.1.7,70,10.1.1.7,10
10.1.1.7,70,10.1.1.8,8
10.1.1.7,70,10.1.1.9,8
10.1.1.7,70,10.1.1.10,8
10.1.1.8,70,10.1.1.1,6
10.1.1.8,70,10.1.1.2,6
10.1.1.8,70,10.1.1.3,6
10.1.1.8,70,10.1.1.4,7
10.1.1.8,70,10.1.1.5,6
10.1.1.8,70,10.1.1.6,6
10.1.1.8,70,10.1.1.7,6
10.1.1.8,70,10.1.1.8,10
10.1.1.8,70,10.1.1.9,8
10.1.1.8,70,10.1.1.10,6
10.1.1.9,70,10.1.1.1,8
10.1.1.9,70,10.1.1.2,10
10.1.1.9,70,10.1.1.3,6
10.1.1.9,70,10.1.1.4,8
10.1.1.9,70,10.1.1.5,4
10.1.1.9,70,10.1.1.6,6
10.1.1.9,70,10.1.1.7,8
10.1.1.9,70,10.1.1.8,8
10.1.1.9,70,10.1.1.9,10
10.1.1.9,70,10.1.1.10,10
10.1.1.10,70,10.1.1.1,6
10.1.1.10,70,10.1.1.2,6
10.1.1.10,70,10.1.1.3,8
10.1.1.10,70,10.1.1.4,4
10.1.1.10,70,10.1.1.5,10
10.1.1.10,70,10.1.1.6,6
10.1.1.10,70,10.1.1.7,6
10.1.1.10,70,10.1.1.8,6
10.1.1.10,70,10.1.1.9,10
10.1.1.10,70,10.1.1.10,10
10.1.1.1,80,10.1.1.1,10
10.1.1.1,80,10.1.1.2,6
10.1.1.1,80,10.1.1.3,6
10.1.1.1,80,10.1.1.4,6
10.1.1.1,80,10.1.1.5,8
10.1.1.1,80,10.1.1.6,6
10.1.1.1,80,10.1.1.7,6
10.1.1.1,80,10.1.1.8,6
10.1.1.1,80,10.1.1.9,8
10.1.1.1,80,10.1.1.10,6
10.1.1.2,80,10.1.1.1,6
10.1.1.2,80,10.1.1.2,10
10.1.1.2,80,10.1.1.3,6
10.1.1.2,80,10.1.1.4,6
10.1.1.2,80,10.1.1.5,8
10.1.1.2,80,10.1.1.6,8
10.1.1.2,80,10.1.1.7,6
10.1.1.2,80,10.1.1.8,6
10.1.1.2,80,10.1.1.9,10
10.1.1.2,80,10.1.1.10,6
10.1.1.3,80,10.1.1.1,4
10.1.1.3,80,10.1.1.2,6
10.1.1.3,80,10.1.1.3,10
10.1.1.3,80,10.1.1.4,6
10.1.1.3,80,10.1.1.5,6
10.1.1.3,80,10.1.1.6,6
10.1.1.3,80,10.1.1.7,5
10.1.1.3,80,10.1.1.8,6
10.1.1.3,80,10.1.1.9,6
10.1.1.3,80,10.1.1.10,8
10.1.1.4,80,10.1.1.1,8
